model,hypothesis_template,accuracy,precision,recall,f1
cross-encoder/nli-MiniLM2-L6-H768,This example is about {}.,0.6598651219090438,0.7746987951807229,0.4466828759986106,0.5666446353822427
cross-encoder/nli-MiniLM2-L6-H768,The patient's palliative care needs are {}.,0.7212519453570811,0.7801857585139319,0.6127127474817645,0.6863813229571984
cross-encoder/nli-MiniLM2-L6-H768,"Overall, the patient's care needs are {}.",0.8016600380425385,0.8190862196020634,0.7721431052448767,0.7949222242088325
cross-encoder/nli-MiniLM2-L6-H768,"From this note, it can be inferred that {}.",0.8001037523776586,0.8127041742286751,0.7777005904828065,0.7948171813986511
cross-encoder/nli-MiniLM2-L6-H768,This clinical note indicates that the patient's care needs are {}.,0.8009683555248142,0.7987551867219918,0.8023619312261202,0.8005544966210362
cross-encoder/nli-MiniLM2-L6-H768,"Based on this note, the patient's care needs are {}.",0.777969911810479,0.8141000393855848,0.7179576241750608,0.7630121816168328
cross-encoder/nli-MiniLM2-L6-H768,The patient's condition suggests that {}.,0.7643091820854228,0.8414414414414414,0.6488364015283085,0.7326926848401647
cross-encoder/nli-MiniLM2-L6-H768,This note suggests that the patient is experiencing {}.,0.7387169289296213,0.8577405857740585,0.5696422368878082,0.6846169901899395
cross-encoder/nli-MiniLM2-L6-H768,The patient's current situation reflects {}.,0.7561819125021615,0.7841392649903288,0.7040639110802361,0.7419472913616398
cross-encoder/nli-MiniLM2-L6-H768,The patient's symptoms and care needs are {}.,0.7184852152861836,0.8026124818577649,0.57624175060785,0.670845127375657
cross-encoder/nli-MiniLM2-L6-H768,The patient's care is {}.,0.7124329932560954,0.8230605738575983,0.5380340395970823,0.6507036336904012
cross-encoder/nli-MiniLM2-L6-H768,This note indicates a situation where {}.,0.7655196264914405,0.8504371836171192,0.6418895449808961,0.7315914489311164
cross-encoder/nli-MiniLM2-L6-H768,The note documents that {}.,0.7508213729897977,0.8372420262664165,0.6200069468565474,0.7124326481740172
cross-encoder/nli-MiniLM2-L6-H768,The record indicates that {}.,0.8135915614732837,0.7959250739401906,0.8412643278916291,0.817966903073286
cross-encoder/nli-MiniLM2-L6-H768,The clinical documentation suggests that {}.,0.774338578592426,0.8507130124777184,0.6630774574505036,0.7452664454421237
typeform/distilbert-base-uncased-mnli,This example is about {}.,0.7260937229811516,0.686438237834725,0.8280653004515457,0.7506297229219143
typeform/distilbert-base-uncased-mnli,The patient's palliative care needs are {}.,0.7131246757738198,0.736985236985237,0.6589093435220563,0.6957637997432606
typeform/distilbert-base-uncased-mnli,"Overall, the patient's care needs are {}.",0.700328549195919,0.6473765432098766,0.8742618964918375,0.7439042411703857
typeform/distilbert-base-uncased-mnli,"From this note, it can be inferred that {}.",0.7549714680961439,0.7595880681818182,0.742966307745745,0.7511852502194908
typeform/distilbert-base-uncased-mnli,This clinical note indicates that the patient's care needs are {}.,0.7136434376621131,0.6762755837417123,0.8148662730114623,0.7391304347826086
typeform/distilbert-base-uncased-mnli,"Based on this note, the patient's care needs are {}.",0.709666263185198,0.6912045889101338,0.7533865925668635,0.7209572876848928
typeform/distilbert-base-uncased-mnli,The patient's condition suggests that {}.,0.7452879128480028,0.7332448573324486,0.7676276484890587,0.7500424232139827
typeform/distilbert-base-uncased-mnli,This note suggests that the patient is experiencing {}.,0.7359501988587238,0.7283783783783784,0.7488711358110455,0.7384826168864531
typeform/distilbert-base-uncased-mnli,The patient's current situation reflects {}.,0.6965242953484351,0.6377450980392156,0.9037860368183397,0.7478085931886765
